"統一編號","AEO編號","出口人中文名稱"
"04322046","TWAEO-113000001","英業達股份有限公司"
"11384708","TWAEO-105000007","長春人造樹脂廠股份有限公司"
"11384806","TWAEO-105000006 ","長春石油化學股份有限公司"
"12341051","TWAEO-102000011 ","康舒科技股份有限公司"
"13111036","TWAEO-107000005","瀚宇彩晶股份有限公司台南科學園區分公司"
"16130599","TWAEO-99000007","友達光電股份有限公司桃園分公司"
"16198345","TWAEO-103000045","台虹科技股份有限公司"
"16549778","TWAEO-104000003","明基材料股份有限公司"
"16846270","TWAEO-110000006","新加坡商安富利股份有限公司台灣分公司"
"19004316","TWAEO-100000017","華新科技股份有限公司"
"21204867","TWAEO-101000009","台灣晶技股份有限公司"
"21222725","TWAEO-110000004","仁寶電腦工業股份有限公司"
"22101208","TWAEO-101000062","瑞儀光電股份有限公司"
"22101544","TWAEO-108000020","台灣典範半導體股份有限公司"
"22151585","AAA100000139","豐藝電子股份有限公司"
"22318348","TWAEO-100000001","大成不銹鋼工業股份有限公司"
"22327466","TWAEO-104000036","立端科技股份有限公司"
"22822281","TWAEO-101000020","廣達電腦股份有限公司"
"23077590","TWAEO-105000007","鑫盈刺繡有限公司"
"23218022","TWAEO-103000025","矽格股份有限公司"
"23446187","TWAEO-113000013","創見資訊股份有限公司"
"27951609","TWAEO-108000019","群聯電子股份有限公司竹南分公司"
"28496495","TWAEO-104000034","神準科技股份有限公司"
"29143652","TWAEO-111000008","新聿科技股份有限公司"
"29182991","TWAEO-105000034","矽品精密工業股份有限公司中科分公司"
"29184576","TWAEO-103000046","正達國際光電股份有限公司南科分公司"
"43787872","TWAEO100000048","光洋應用材料科技股份有限公司"
"53116310","TWAEO-110000015","恆顥科技股份有限公司"
"53660971","TWAEO-104000031","京元電子股份有限公司銅鑼分公司"
"59619900","TWAEO-111000003","建大工業股份有限公司"
"69764298","TWAEO-109000001","緯穎科技服務股份有限公司台南分公司"
"70647919","TWAEO-100000038","台灣精銳科技股份有限公司"
"70750217","TWAEO-108000011","精金科技股份有限公司"
"70812945","TWAEO-101000076","京元電子股份有限公司竹南分公司"
"70848839","TWAEO-104000014","日月光半導體製造股份有限公司中壢分公司"
"75706009","TWAEO-100000062","台灣福興工業股份有限公司"
"84149358","TWAEO-102000061","世界先進積體電路股份有限公司"
"84149456","TWAEO-104000026","矽格聯測股份有限公司"
"84149738","TWAEO-100000006","友達光電股份有限公司"
"84149786","TWAEO-104000028","晶元光電股份有限公司"
"84899112","TWAEO-104000019","台灣三星電子股份有限公司"
"86436593","TWAEO-109000011","翔名科技股份有限公司"
"86960127","TWAEO-103000023","偉全企業股份有限公司"
"89405911","TWAEO-110000007","安富利科技股份有限公司"
"89549184","TWAEO-112000006","榮昌科技股份有限公司"
"97331723","TWAEO-102000060","啟碁科技股份有限公司"
