輸入規定代號,規定中文說明,規定英文說明,規定生效日
(空白),准許（免除簽發許可證）。,Import permitted (free from licensing),0880701
111,管制輸入。,Import controlled (licensed by the Bureau of Foreign Trade.),1031020
113,自美國、加拿大、荷蘭、瑞典、日本或墨西哥進口時，應向經濟部國際貿易署申請輸入許可證。進口報驗時，應檢附出口國（地區）政府檢疫及食品安全主管機關簽發之證明書；自美國進口時，應另檢附輸臺證明書。,"Importation from the United States, Canada, Netherlands, Sweden, Japan or Mexico shall apply for import license from the International Trade Administration, Ministry of Economic Affairs. When applying for inspection, applicants shall submit certificates for meat products issued by competent authorities of animal health and food safety. Applicants for products from the U.S. shall submit Certificate for Export to Taiwan.",1130301
114,朝鮮人民共和國（北韓）物品不准進口。,Importation of Democratic People's Republic of Korea (North Korea) products is prohibited.,0990322
121,由經濟部國際貿易署簽發輸入許可證。,"Import permit issued by the International Trade Administration, Ministry of Economic Affairs.",1130301
236,應檢附輸入光碟製造機具申報備查文件。,"It is necessary to submit a Certificate for Optical Disk Manufacturing Implement Import issued by the Board of Foreign Trade, Ministry of Economic Affairs.",0910130
251,應檢附經濟部產業發展署同意文件。,"Approval from the Industrial Development Administration, Ministry of Economic Affairs is required.",1130301
255,應檢附經濟部能源署同意文件。,"Approval from the Energy Administration, Ministry of Economic Affairs is required.",1130301
256,輸入２５瓦特以上（含）之白熾燈泡，應檢附經濟部能源署同意文件。,"Importing incandescent lamps with an input power exceeding or equal to 25W should provide an approval document issued by the Energy Administration, Ministry of Economic Affairs.",1130301
259,應檢附經濟部水利署同意文件。,"Approval from the Water Resources Agency, Ministry of Economic Affairs is required.",1050801
301,應檢附經濟部同意文件,Approval from the Ministry of Economic Affairs is required.,0840721
343,限由中央印製廠憑中央銀行發行局同意文件辦理進口。,Importation shall be made only by China Engraving & Printing Works with the requisite approval document from the Issue Department of the Central Bank of China.,0910701
344,應檢附中央銀行發行局之同意文件。,An approval from the Issue Department of the Central Bank of China is required.,0910701
362,應檢附直轄巿或縣（巿）警察局同意文件。,An approval from the local city or county police administration is required.,0900305
363,應檢附內政部警政署同意文件，但軍事機關應檢附國防部同意文件。,"An approval from the National Police Administration, Ministry of the Interior is required. if the imported goods are for military authority use, then an approval from the Ministry of National Defense is required.",0930422
364,進口槍枝或槍枝之零件及附件，槍管、滑套（轉輪）、槍機等為金屬材質者，應檢附內政部警政署同意文件；如非屬前述者，應檢附內政部警政署核發之不列管證明文件。,"For importation of guns, parts and accessories thereof in which the barrels, slides (cylinders) or actions are made of metal, approval from the National Police Agency of the Ministry of the Interior (MOI) is required. For importation of commodities that do not belong to the aforementioned category, a control-free document issued by the National Police Agency of the MOI is required.",1110905
366,應檢附內政部核發之同意文件或非屬爆竹煙火管理條例列管項目之證明文件。,"Approval from the Ministry of the Interior, or a certificate stating that the items are not controlled under the Firework and Firecracker Regulation Act issued by the Ministry of the Interior is required.",0940829
367,進口量達５０公斤（含）以上者，應檢附內政部許可文件,Approval from the Ministry of the Interior is required when the quantity of the commodity to be imported is equal to or more than 50 kilograms.,0980122
368,應檢附Ｋｉｍｂｅｒｌｅｙ　Ｐｒｏｃｅｓｓ參與方指定機關核發之Ｋｉｍｂｅｒｌｅｙ　Ｐｒｏｃｅｓｓ證書。,The Kimberley Process Certificate issued by the designated export authority of the Kimberley Process Participant is required.,0920510
