"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"15001219","19771103","20221118","一協榮股份有限公司","ESZ CO., LTD.","臺北市萬華區西寧南路158號1樓","1 F., No. 158, Xining S. Rd., Wanhua Dist., Taipei City 108007, Taiwan (R.O.C.)","陳O瑞","02-2311-7056","02-2331-9190","有","有"
"15005720","19970422","20210814","大方元福國際洋行有限公司","MASTER GRAND INTERNATIONAL CO., LTD.","臺北市萬華區中華路1段192號7樓","7 F., No. 192, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City 10850, Taiwan (R.O.C.)","劉O昊","02-23319897","02-23817473","有","有"
"15011407","19721214","20210812","大申貿易有限公司","TAH SHEN TRADING CO., LTD.","臺北市萬華區康定路242號","No. 242, Kangding Rd., Wanhua Dist., Taipei City 10852, Taiwan (R.O.C.)","吳O明","02-23067581","02-23043776","有","有"
"15013427","19930812","20221202","洸洋化學製藥股份有限公司","KOWNG YOUNG PHARMACEUTICAL & CHEMICAL CO., LTD.","新北市板橋區信義路26巷10號","No. 10, Ln. 26, Xinyi Rd., Banqiao Dist., New Taipei City 220058, Taiwan (R.O.C.)","蔡O信","02-89671089","02-89677668","有","有"
"15017839","19741206","20210812","大昌帆布股份有限公司","TAI CHUNG CANVAS CO., LTD.","臺北市中山區長安東路2段31號2樓之4","2F.-4, No. 31, Sec. 2, Chang’an E. Rd., Zhongshan Dist., Taipei City 10456, Taiwan (R.O.C.)","蔡O三","02-25627987","","有","有"
"15021101","20000330","20210812","三明實業股份有限公司","TRIPLE GOOD ENTERPRISE CO., LTD.","臺北市萬華區內江街110巷1號","No. 1, Ln. 110, Neijiang St., Wanhua Dist., Taipei City 10845, Taiwan (R.O.C.)","呂O仁","02-23113467","02-23316378","有","有"
"15023207","19961116","20210811","華博化妝品工廠","BAREET COSMETICS WORKS.","臺北市南港區南港路3段120號2樓","2 F., No. 120, Sec. 3, Nangang Rd., Nangang Dist., Taipei City 11554, Taiwan (R.O.C.)","洪O雄","02-2783-7454","02-2782-9536","有","有"
"15024402","19940524","20210814","三星昌實業股份有限公司","THREE STAR TEXTILE CORPORATION","臺北市萬華區漢中街135號7樓","7 F., No. 135, Hanzhong St., Wanhua Dist., Taipei City 10846, Taiwan (R.O.C.)","董O義","02-23311261","02-23413384","有","有"
"15024509","19770418","20210814","大洋塑膠工業股份有限公司","OCEAN PLASTICS CO., LTD.","臺北市萬華區莒光路310號5、6樓","6 F., No. 310, Juguang Rd., Wanhua Dist., Taipei City 10860, Taiwan (R.O.C.)","陳O明","02-23062131","02-23062320","有","有"
"15024917","19741223","20210812","三彩化工股份有限公司","SANTSAI CHEMICAL CO., LTD.","臺北市中正區南昌路2段53號7樓","7 F., No. 53, Sec. 2, Nanchang Rd., Zhongzheng Dist., Taipei City 10084, Taiwan (R.O.C.)","","02-29298383","02-29285353","有","有"
"15025078","20230907","20230907","大原五金行","Dayuan Hardware Shop","臺北市萬華區西寧南路156號","1st Floor No. 156, Xining S. Rd., Wanhua District, Taipei City 108007, Taiwan (R.O.C.)","彭O順","0223717098","02-23312465","有","有"
"15029602","20040720","20230117","群和機械股份有限公司","CHYUN HEH MACHINERY CO., LTD.","新北市三重區光復路1段61巷24弄15號","No. 15, Aly. 24, Ln. 61, Sec. 1, Guangfu Rd., Sanchong Dist., New Taipei City 241018, Taiwan (R.O.C.)","簡O蓉","02-8512-2000","02-2999-8899","有","有"
"15034422","20020516","20250326","三勝儀器有限公司","SAN SHENG INSTRUMENT CO., LTD.","新北市板橋區大觀路一段28巷121弄6號","No. 6, Aly. 121, Ln. 28, Sec. 1, Daguan Rd., Banqiao Dist., New Taipei City 22057, Taiwan (R.O.C.)","李O梅","02-2966-6583","02-2960-5339","有","有"
"15044224","19780321","20230606","太中興業股份有限公司","TA CHUNG DEVELOPMENT CO., LTD.","臺北市中山區松江路152號9樓","9 F., No. 152, Songjiang Rd., Zhongshan Dist., Taipei City 104488, Taiwan (R.O.C.)","柯O耀","02-25110312","02-25710478","有","有"
"15044441","19790522","20240531","日尹新實業股份有限公司","ZU YIIN SHIN ENTERPRISE CO., LTD.","新北市淡水區下圭柔山71之1號","No. 71-1, Xiaguiroushan, Tamsui Dist., New Taipei City 251004, Taiwan (R.O.C.)","林O通","02-26262845","02-26262448","有","有"
"15044596","20210122","20210814","今日企業有限公司","KINGZOO ENTERPRISE CO., LTD","臺北市萬華區昆明街266號1樓","1 F., No. 266, Kunming St., Wanhua Dist., Taipei City 10850, Taiwan (R.O.C.)","蔡O蒨","02-2311-9822","","有","有"
"15045125","20010412","20210813","中日股份有限公司","SINOFURNI CO., LTD.","臺北市中正區和平西路1段56號B1(地下1樓)","1 F., No. 56, Sec. 1, Heping W. Rd., Zhongzheng Dist., Taipei City 10078, Taiwan (R.O.C.)","余O枝","23655118","23681977","有","有"
"15045217","19780908","20210815","五福華實業股份有限公司","WU FWU HWA ENTERPRISE CORP.","臺北市大安區復興南路2段151巷1號8樓","8 F., No. 1, Ln. 151, Sec. 2, Fuxing S. Rd., Da’an Dist., Taipei City 10665, Taiwan (R.O.C.)","陳O娟","02-27075500","","有","有"
"15045808","20020819","20221213","中日藥品股份有限公司","CHUNG ZEH PHARMACEUTICAL CO., LTD.","臺北市信義區逸仙路50巷12號7樓之1","7 F.-1, No. 12, Ln. 50, Yixian Rd., Xinyi Dist., Taipei City 110054, Taiwan (R.O.C.)","林O清","02-24970000","02-24979326","有","有"
"15046314","19920708","20230308","中外工程股份有限公司","JONG-WAI ENGINEERING CORP.","新北市中和區中板路47巷15號2樓","2 F., No. 15, Ln. 47, Zhongban Rd., Zhonghe Dist., New Taipei City 235015, Taiwan (R.O.C.)","范O博","02-2303-4829","","有","有"
"15047806","19780920","20210814","天立機電工廠股份有限公司","STANLEY ELECTRIC WORKS CO., LTD.","新北市五股區成泰路2段224號","No. 224, Sec. 2, Chengtai Rd., Wugu Dist., New Taipei City 24841, Taiwan (R.O.C.)","林O洋","02-22922510","02-23310285","有","有"
"15047904","19880328","20250205","中影股份有限公司","CENTRAL MOTION PICTURE CORP.","臺北市中山區八德路二段260號6樓","6 F., No. 260, Sec. 2, Bade Rd., Zhongshan Dist., Taipei City 104100, Taiwan (R.O.C.)","郭O強","02-27781058","02-27781048","有","有"
"15053412","19791229","20210811","文明行","WEN MING COMPANY","臺北市萬華區萬大路39號1樓","1 F., No. 39, Wanda Rd., Wanhua Dist., Taipei City 10861, Taiwan (R.O.C.)","鄭O發","02-23066835","","有","有"
"15054101","19740917","20210812","明誼股份有限公司","MAXIM INC.","臺北市萬華區萬大路39號","No. 39, Wanda Rd., Wanhua Dist., Taipei City 10861, Taiwan (R.O.C.)","鄭O發","02-23065081-4","02-23066835","有","有"
"15055517","20030925","20210814","文信汽車有限公司","WEN XIN LTD.","臺北市萬華區西藏路448號1樓","1 F., No. 448, Xizang Rd., Wanhua Dist., Taipei City 10860, Taiwan (R.O.C.)","巫O銘","02-2306-1166","","有","有"
"15061433","19741011","20240501","中華標記股份有限公司","CHINA NAME PLATE CO., LTD.","臺北市萬華區萬大路6號1樓","1 F., No. 6, Wanda Rd., Wanhua Dist., Taipei City 10861, Taiwan (R.O.C.)","吳O華","02-23066109","","有","有"
"15065108","20140731","20221102","中華徵信所企業股份有限公司","CHINA CREDIT INFORMATION SERVICE, LTD.","臺北市松山區民生東路3段129、131號13樓","13 F., No. 129, No. 131, Sec. 3, Minsheng E. Rd., Songshan Dist., Taipei City 105405, Taiwan (R.O.C.)","SOmoneLovatO","02-8768-3266","02-8768-2408","有","有"
"15067008","19781110","20210812","天祺有限公司","MAGIC PLASTICS","臺北市萬華區萬大路424巷85號4樓","4 F., No. 85, Ln. 424, Wanda Rd., Wanhua Dist., Taipei City 10885, Taiwan (R.O.C.)","黃O德","02-23254566","02-23252279","有","有"
"15069625","19710723","20231021","友源貿易股份有限公司","YEOU YUAN TRADING CO., LTD.","臺北市大安區敦化南路2段65號11樓","11 F., No. 65, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei City 106045, Taiwan (R.O.C.)","陳O宏","02-27556688","02-27557389","有","有"
"15071903","19780711","20210812","互興有限公司","HOP SHING COMPANY LTD.","臺北市中山區林森北路67巷64號1樓","1 F., No. 64, Ln. 67, Linsen N. Rd., Zhongshan Dist., Taipei City 10442, Taiwan (R.O.C.)","楊O雄","02-25510100","","有","有"
"15078429","19720802","20210814","義雄貿易股份有限公司","ESON TRADING ENTERPRISE CO., LTD.","臺北市中正區延平南路60號","No. 60, Yanping S. Rd., Zhongzheng Dist., Taipei City 10042, Taiwan (R.O.C.)","謝O義","02-23612195-8","","有","有"
"15078618","19890330","20210812","立文印刷有限公司","LI WEN PRINTING CO., LTD.","臺北市中山區南京西路1-1號6樓","6 F., No. 1-1, Nanjing W. Rd., Zhongshan Dist., Taipei City 10444, Taiwan (R.O.C.)","蔡O國","02-23064308","","有","有"
"15082107","19980527","20210814","正光印刷材料有限公司","CHENG KWANG PRINTING MATERIALS CORPORATION","臺北市萬華區康定路118號","No. 118, Kangding Rd., Wanhua Dist., Taipei City 10845, Taiwan (R.O.C.)","游O地","02-23147725","02-23147726","有","有"
"15088502","19741206","20221213","正東橡膠工業有限公司","CHENG TUNG RUBBER INDUSTRY CO., LTD.","新北市土城區中山路67號","No. 67, Zhongshan Rd., Tucheng Dist., New Taipei City 236038, Taiwan (R.O.C.)","翁O雄","02-22608318","","有","有"
