"key","value"
"EA","EAC"
"EACH","EAC"
"KEA","KPC"
"KG","KGM"
"KGS","KGM"
"M","MTR"
"M2","MTK"
"P","PCE"
"PC","PCE"
"PCS","PCE"
"PIECE","PCE"
"PIECE(片)","PCE"
"PR","NPR"
"PRS","NPR"
"PAIR","NPR"
"Y","YRD"
"YARD","YRD"
"YARDS","YRD"
"YD","YRD"
"YDS","YRD"
"YDR","YRD"
"LB","LBR"
"LBS","LBR"
"INCH","INC"
"ROLL","ROL"
"PKS","PKG"
"RLS","ROL"
"010121","01012100003"
"010129","01012900005"
"010130","01013000002"
"010190","01019000009"
"010221","01022100002"
"010229","01022900004"
"010231","01023100000"
"010239","01023900002"
"010310","01031000004"
"010391","01039100006"
"010392","01039200005"
"010410","01041000003"
"010613","01061300008"
"010631","01063100006"
"010632","01063200005"
"010641","01064100004"
"020312","02031200001"
"020322","02032200009"
"020410","02041000002"
"020421","02042100009"
"020422","02042200008"
"020423","02042300007"
"020430","02043000008"
"020441","02044100005"
"020442","02044200004"
"020443","02044300003"
"020500","02050000003"
"020621","02062100007"
"020622","02062200006"
"020641","02064100003"
"020711","02071100008"
"020712","02071200007"
"020724","02072400003"
"020725","02072500002"
"020741","02074100002"
"020742","02074200001"
"020743","02074300000"
"020751","02075100009"
"020752","02075200008"
"020753","02075300007"
"020910","02091000007"
"020990","02099000000"
"021011","02101100003"
"021012","02101200002"
"021019","02101900005"
"021020","02102000002"
"030191","03019100006"
"030193","03019300004"
"030194","03019400003"
"030195","03019500002"
"030211","03021100002"
"030213","03021300000"
"030214","03021400009"
"030219","03021900004"
"030221","03022100000"
"030222","03022200009"
"030223","03022300008"
"030224","03022400007"
"030229","03022900002"
"030231","03023100008"
"030232","03023200007"
"030233","03023300006"
"030234","03023400005"
"030235","03023500004"
"030236","03023600003"
"030239","03023900000"
"030241","03024100006"
"030242","03024200005"
"030243","03024300004"
"030244","03024400003"
"030245","03024500002"
"030246","03024600001"
"030247","03024700000"
"030251","03025100003"
"030252","03025200002"
"030253","03025300001"
"030254","03025400000"
"030255","03025500009"
"030256","03025600008"
"030259","03025900005"
"030271","03027100009"
"030272","03027200008"
"030273","03027300007"
"030274","03027400006"
"030279","03027900001"
"030282","03028200006"
"030283","03028300005"
"030284","03028400004"
"030285","03028500003"
"030292","03029200004"
"030311","03031100001"
"030312","03031200000"
"030313","03031300009"
"030314","03031400008"
"030319","03031900003"
"030323","03032300007"
"030324","03032400006"
"030325","03032500005"
"030326","03032600004"
"030329","03032900001"
"030331","03033100007"
"030332","03033200006"
"030333","03033300005"
"030334","03033400004"
"030339","03033900009"
"030341","03034100005"
"030342","03034200004"
"030343","03034300003"
"030344","03034400002"
"030345","03034500001"
"030346","03034600000"
"030349","03034900007"
"030351","03035100002"
"030353","03035300000"
"030355","03035500008"
"030356","03035600007"
"030357","03035700006"
"030363","03036300008"
"030364","03036400007"
"030365","03036500006"
"030366","03036600005"
"030367","03036700004"
"030368","03036800003"
"030382","03038200005"
"030383","03038300004"
"030384","03038400003"
"030392","03039200003"
"030431","03043100006"
"030432","03043200005"
"030433","03043300004"
"030441","03044100004"
"030442","03044200003"
"030443","03044300002"
"030444","03044400001"
"030445","03044500000"
"030446","03044600009"
"030448","03044800007"
"030453","03045300009"
"030454","03045400008"
"030455","03045500007"
"030457","03045700005"
"030461","03046100009"
"030462","03046200008"
"030463","03046300007"
"030471","03047100007"
"030472","03047200006"
"030473","03047300005"
"030474","03047400004"
"030475","03047500003"
"030479","03047900009"
"030481","03048100005"
"030482","03048200004"
"030484","03048400002"
"030485","03048500001"
"030486","03048600000"
"030532","03053200004"
"030541","03054100003"
"030542","03054200002"
"030543","03054300001"
"030551","03055100000"
"030552","03055200009"
"030561","03056100008"
"030562","03056200007"
"030563","03056300006"
"030615","03061500004"
"030616","03061600003"
"030634","03063400001"
"030694","03069400008"
"030712","03071200006"
"030721","03072100005"
"030722","03072200004"
"030732","03073200002"
"030751","03075100008"
"030752","03075200007"
"030782","03078200001"
"030784","03078400009"
"030812","03081200005"
"030822","03082200003"
"030829","03082900006"
"030910","03091000006"
"040320","04032000009"
"040510","04051000009"
"040610","04061000008"
"040630","04063000004"
"040640","04064000002"
"040690","04069000001"
"040721","04072100004"
"040729","04072900006"
"040790","04079000000"
"040811","04081100005"
"040900","04090000007"
"041010","04101000002"
"050510","05051000008"
"050610","05061000007"
"051110","05111000000"
"060230","06023000006"
"060240","06024000004"
"060311","06031100008"
"060312","06031200007"
"060314","06031400005"
"060315","06031500004"
"070110","07011000000"
"070190","07019000003"
"070200","07020000001"
"070390","07039000001"
"070410","07041000007"
"070420","07042000005"
"070511","07051100005"
"070519","07051900007"
"070521","07052100003"
"070529","07052900005"
"070610","07061000005"
"070700","07070000006"
"070810","07081000003"
"070820","07082000001"
"070930","07093000008"
"070940","07094000006"
"070952","07095200001"
"070953","07095300000"
"070954","07095400009"
"070955","07095500008"
"070956","07095600007"
"070960","07096000001"
"070970","07097000009"
"070991","07099100004"
"070992","07099200003"
"070993","07099300002"
"071010","07101000009"
"071021","07102100006"
"071022","07102200005"
"071030","07103000005"
"071090","07109000002"
"071120","07112000006"
"071140","07114000002"
"071159","07115900000"
"071220","07122000005"
"071232","07123200001"
"071233","07123300000"
"071234","07123400009"
"080111","08011100008"
"080112","08011200007"
"080221","08022100005"
"080222","08022200004"
"080231","08023100003"
"080232","08023200002"
"080251","08025100008"
"080252","08025200007"
"080261","08026100006"
"080262","08026200005"
"080270","08027000005"
"080280","08028000003"
"080291","08029100000"
"080292","08029200009"
"080440","08044000000"
"080590","08059000008"
"080610","08061000004"
"080720","08072000001"
"080810","08081000002"
"080840","08084000006"
"080910","08091000001"
"080921","08092100008"
"080929","08092900000"
"081010","08101000008"
"081020","08102000006"
"081030","08103000102"
"081050","08105000009"
"081060","08106000007"
"081070","08107000005"
"081110","08111000007"
"081120","08112000005"
"081210","08121000006"
"081310","08131000005"
"081330","08133000001"
"081350","08135000006"
"090111","09011100007"
"090112","09011200006"
"090121","09012100005"
"090122","09012200004"
"090210","09021000007"
"090300","09030000008"
"090412","09041200003"
"090422","09042200001"
"090510","09051000004"
"090520","09052000002"
"090611","09061100002"
"090619","09061900004"
"090620","09062000001"
"090710","09071000002"
"090720","09072000000"
"090811","09081100000"
"090812","09081200009"
"090821","09082100008"
"090822","09082200007"
"090921","09092100007"
"090922","09092200006"
"090931","09093100005"
"090932","09093200004"
"091020","09102000005"
"091030","09103000003"
"091091","09109100009"
"100111","10011100004"
"100191","10019100007"
"100210","10021000004"
"100290","10029000007"
"100310","10031000003"
"100390","10039000006"
"100410","10041000002"
"100490","10049000005"
"100510","10051000001"
"100610","10061000000"
"100620","10062000008"
"100640","10064000004"
"100710","10071000009"
"100790","10079000002"
"100821","10082100005"
"100829","10082900007"
"100830","10083000004"
"100840","10084000002"
"100850","10085000009"
"100860","10086000007"
"100890","10089000207"
"110412","11041200009"
"110430","11043000007"
"110520","11052000008"
"110710","11071000008"
"110720","11072000006"
"110811","11081100006"
"110812","11081200005"
"110813","11081300004"
"110820","11082000005"
